query_name,fastest_total_time_s,fastest_planning_time_s,fastest_execution_time_s,fastest_source,status,total_time_all_three,total_time_ce_jn,total_time_cm_jn,total_time_jn
q8-010.sql,2.1424250000000002,0.094968,2.047457,ce_jn,success,2.466816,2.1424250000000002,2.4623369999999998,2.166769
q9-003.sql,7.739281,0.008846999999999999,7.730434,all_three,success,7.739281,10.716524999999999,7.913492,10.843867000000001
q9-071.sql,9.16943,0.00789,9.16154,all_three,success,9.16943,12.654521,10.277807000000001,13.710825
q9-072.sql,9.041099,0.0076040000000000005,9.033495,all_three,success,9.041099,11.513432,9.363984,11.921457
q9-073.sql,22.120079999999998,0.012702999999999999,22.107377,cm_jn,success,22.319962999999998,27.772723000000003,22.120079999999998,28.561975
q9-074.sql,20.26541,0.008074,20.257336,all_three,success,20.26541,25.262210000000003,20.764876,24.566958
q9-096.sql,8.056589,0.009149,8.04744,cm_jn,success,10.134172,10.591619999999999,8.056589,10.846205000000001
q9-097.sql,8.345286,0.008381999999999999,8.336904,all_three,success,8.345286,10.866345,9.349606,11.960044
q9-098.sql,13.204386000000001,0.00801,13.196376,cm_jn,success,13.259639,15.619295,13.204386000000001,16.519303999999998
q9-099.sql,13.383433,0.008486,13.374947,all_three,success,13.383433,15.7315,13.931849,15.891394
q9-100.sql,7.813805,0.009428,7.804377000000001,all_three,success,7.813805,10.417881,8.206010000000001,10.419801999999999
