query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,tee_io_overhead_pct,tee_cpu_overhead_pct,tee_gather_overhead_pct,tee_memoize_overhead_pct,total_time_all_three,total_time_cm_ce,total_time_cm_jn,total_time_cm
5a.sql,0.104432,cm_ce,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.15982799999999997,0.104432,0.16518100000000002,0.10836200000000001
5b.sql,0.100311,cm,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.107923,0.106418,0.10741200000000001,0.100311
5c.sql,0.153321,cm,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.416705,0.155432,0.39160899999999993,0.153321
6a.sql,0.027064,cm_jn,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.027978,0.028790999999999997,0.027064,0.029333
6b.sql,0.248439,cm_jn,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.25663199999999997,0.27413499999999996,0.248439,0.26535900000000007
6c.sql,0.013857000000000001,cm_ce,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.015158,0.013857000000000001,0.014443000000000001,0.015480999999999998
6d.sql,5.065042,cm_jn,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,5.149466,5.179061999999999,5.065042,5.259275
6e.sql,0.021074,cm,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.024007,0.024045999999999998,0.027157,0.021074
6f.sql,5.843668,cm_jn,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,5.845534000000001,5.901093,5.843668,5.931892
7a.sql,0.5810569999999999,cm_jn,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.595769,0.605151,0.5810569999999999,0.615969
7b.sql,0.195549,cm_ce,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.205847,0.195549,0.19912699999999997,0.207451
7c.sql,1.3633750000000002,cm_ce,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,13.646097000000001,1.3633750000000002,8.599075000000001,1.377483
8a.sql,1.456579,all_three,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,1.456579,1.469448,1.4605130000000002,1.4751710000000002
8b.sql,0.140291,cm_jn,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.150223,0.366968,0.140291,0.36231800000000003
8c.sql,3.266499,all_three,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,3.266499,3.352533,3.275935,3.4036139999999997
8d.sql,1.010937,cm_jn,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,1.0140850000000001,1.173545,1.010937,1.1765359999999998
9a.sql,0.22037600000000002,cm_ce,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.32887500000000003,0.22037600000000002,0.330996,0.221896
9b.sql,0.21259599999999998,cm,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.318655,0.334308,0.323819,0.21259599999999998
9c.sql,0.34673300000000007,cm,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.356434,0.346769,0.35737599999999997,0.34673300000000007
9d.sql,1.714283,all_three,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,1.714283,2.840249,1.722139,1.7359820000000001
