query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,tee_io_overhead_pct,tee_cpu_overhead_pct,tee_gather_overhead_pct,tee_memoize_overhead_pct,total_time_all_three,total_time_cm_ce,total_time_cm_jn,total_time_cm
q7-001.sql,1.252995,cm_jn,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,1.2790949999999999,1.27767,1.252995,1.2696539999999998
q7-002.sql,1.2666380000000002,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,1.2691780000000001,1.2666380000000002,1.270901,1.290047
q7-003.sql,1.2365909999999998,all_three,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,1.2365909999999998,1.2487799999999998,1.2635610000000002,1.266237
q7-004.sql,5.181479,cm_jn,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,5.997147,5.978149000000001,5.181479,5.191072
q7-005.sql,1.248683,cm_jn,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,1.257012,1.264894,1.248683,1.2622010000000001
q7-006.sql,1.2724029999999997,all_three,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,1.2724029999999997,1.273706,1.303454,1.329867
q7-007.sql,1.282522,cm_jn,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,1.291142,1.29565,1.282522,1.3392910000000002
q7-008.sql,1.2210200000000002,all_three,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,1.2210200000000002,1.2508949999999999,1.2800269999999998,1.270711
q7-009.sql,5.327484,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,6.069987,6.173564000000001,5.353611,5.327484
q7-010.sql,1.248783,cm_jn,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,1.258189,1.271446,1.248783,1.2559449999999999
q8-001.sql,0.383173,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,1.583467,0.40282399999999996,1.5166570000000001,0.383173
q8-002.sql,0.398101,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.512454,0.398101,0.492436,0.40237000000000006
q8-003.sql,0.398665,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.889796,0.39931799999999995,0.857825,0.398665
q8-004.sql,0.383039,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,1.901937,0.40494499999999994,1.895722,0.383039
q8-005.sql,0.38526599999999994,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,1.268273,0.395086,1.258428,0.38526599999999994
q8-006.sql,0.39561,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.560598,0.39561,0.557601,0.42138
q8-007.sql,0.39566199999999996,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.936857,0.39566199999999996,0.9296559999999999,0.41243700000000005
q8-008.sql,0.387514,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.7559359999999999,0.39600199999999997,0.7465240000000001,0.387514
q8-009.sql,0.39040800000000003,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.780056,0.398352,0.725655,0.39040800000000003
q8-010.sql,0.382768,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,2.6221989999999997,0.406701,2.458944,0.382768
q9-003.sql,5.6108839999999995,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,8.180823,5.6108839999999995,8.09867,5.793881
q9-071.sql,1.4310530000000001,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,9.701621,1.439942,10.135172,1.4310530000000001
q9-072.sql,2.270067,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,9.179121,2.3023939999999996,8.98889,2.270067
q9-073.sql,3.5643239999999996,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,22.314345,3.7840000000000003,22.837076,3.5643239999999996
q9-074.sql,4.625836,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,20.30711,4.625836,21.410806999999995,4.7449770000000004
q9-096.sql,0.270358,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,10.174443,0.289022,7.776423,0.270358
q9-097.sql,0.09245199999999999,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,8.908532000000001,0.09245199999999999,8.914994000000002,0.12486599999999999
q9-098.sql,5.040745,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,14.024059,5.040745,13.873588000000002,5.093813
q9-099.sql,6.938855,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,14.241978,7.647695000000001,14.159543,6.938855
q9-100.sql,0.131188,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,8.108694,0.131188,7.955826,0.132224
