workload,query,best_combo,best_time,baseline_time,speedup_vs_baseline
summaries_tpcds_no_geqo,set1_99.sql_round1,jn,10.833002,10.867218,1.0031584966014035
summaries_tpcds_no_geqo,set0_1.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_10.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_11.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_14_1.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_22.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_23_1.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_30.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_31.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_35.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_39_1.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_4.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_41.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_45.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_51.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_6.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_67.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_69.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_74.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_81.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_88.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_92.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set0_95.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set1_1.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set1_10.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set1_11.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set1_14_1.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set1_22.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set1_23_1.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set1_30.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set1_31.sql_round1,baseline,60.0,60.0,1.0
summaries_tpcds_no_geqo,set1_35.sql_round1,baseline,60.0,60.0,1.0
