query_name,fastest_total_time_s,fastest_planning_time_s,fastest_execution_time_s,fastest_source,status,total_time_all_three,total_time_ce_jn,total_time_cm_jn,total_time_jn
6f.sql,5.7552959999999995,0.000868,5.754428,cm_jn,success,5.780282000000001,6.407966999999999,5.7552959999999995,6.4195329999999995
7a.sql,0.5645610000000001,0.008739,0.555822,cm_jn,success,0.572903,0.901083,0.5645610000000001,0.878372
7b.sql,0.184963,0.008013,0.17695,cm_jn,success,0.187983,0.238794,0.184963,0.232974
7c.sql,8.564317,0.010192,8.554125,cm_jn,success,13.382327,8.957263000000001,8.564317,9.094243
8a.sql,1.429296,0.005226,1.42407,all_three,success,1.429296,1.448981,1.464524,1.449372
8b.sql,0.13827499999999998,0.007111,0.13116399999999998,cm_jn,success,0.13939200000000002,0.14066099999999998,0.13827499999999998,0.142434
8c.sql,3.164869,0.004481,3.1603879999999998,ce_jn,success,3.2177089999999997,3.164869,3.196615,3.1800349999999997
8d.sql,1.002509,0.005158,0.997351,cm_jn,success,1.002926,1.007136,1.002509,1.005218
9a.sql,0.213227,0.008224,0.205003,jn,success,0.325141,0.21413200000000002,0.32634199999999997,0.213227
9b.sql,0.205463,0.008629,0.196834,jn,success,0.31283799999999995,0.206338,0.30864800000000003,0.205463
9c.sql,0.350815,0.012471999999999999,0.338343,jn,success,0.350999,0.35917,0.351949,0.350815
9d.sql,1.7240700000000002,0.013562,1.7105080000000001,cm_jn,success,1.729755,5.2903780000000005,1.7240700000000002,5.324562
